nom,volume,format
Goblin slayer,04,0
12 Beast,07,0
666 Satan,19,0
Ajin: Demi Human,16,0
Akame ga KILL!,15,0
Akame ga KILL! ZERO,10,0
Alice in Borderlands,18,0
ALIVE: The Final Evolution,21,0
Attack on Titan,31,0
Ayakashi Triangle,03,0
Basilisk,05,0
BEASTARS,21,0
Black Clover,24,0
Black Lagoon,11,0
Black Summoner,02,0
Black Torch,05,0
BLAME! Master Edition,06,0
Bleach,74,0
Blue Exorcist,27,0
Boruto: Naruto Next Generations,09,0
Brutal Nature: Concrete Fury,05,0
BTOOOM! integral,27,0
Cells at Work! CODE BLACK,06,0
Chainsaw Man,11,0
Chu: Bra!!,07,0
Creature,21,0
D.Gray: Man,27,0
Dai Dark,02,0
Darwin's Game,21,0
DEAD Tube,14,0
Deadman Wonderland,13,0
DEATH NOTE SPECIAL,01,0
Demon Slayer: Kimetsu no Yaiba,22,0
Dolly Kill Kill,08,0
Dorohedoro,23,0
Dr Stone reboot,01,0
Dr. Slump,18,0
Dr. STONE,14,0
Dragon Head,10,0
Dragon Quest: Dai no Dai: bouken,22,0
Edens Zero,06,0
Elfen Lied,12,0
Erased,09,0
Fire Force,21,0
Franken Fran,08,0
Fullmetal Alchemist,27,0
Gamaran,22,0
Gangsta,08,0
GetBackers,39,0
GIGANT,03,0
Goblin Slayer,09,0
Goblin Slayer: Brand New Day,02,0
Golden Kamuy,15,0
Green WorldZ,08,0
GTO: Paradise Lost,13,0
Guardian of the Witch Ch 001: 019,03,0
Gyo,01,0
Hell's Paradise: Jigokuraku,07,0
Higanjima,33,0
Hokuto no Ken: Fist of the North Star,18,0
Homunculus,15,0
How to Build a Dungeon: Book of the Demon King,4,0
Hunter x Hunter,37,0
I am a Hero,22,0
I've Been Killing Slimes for 300 Years and Maxed Out My Level,03,0
Ikigami The Ultimate Limit,10,0
Imawa no Kuni no Alice,18,0
In: Spectre,13,0
inuyashiki,10,0
Jagaaaaaan,12,0
Jojo's Bizarre Adventure part 1,05,0
Jojo's Bizarre Adventure part 2,07,0
Jojo's Bizarre Adventure part 3,16,0
Jojo's Bizarre Adventure part 4,18,0
Jojo's Bizarre Adventure part 5,17,0
Jojo's Bizarre Adventure part 6,17,0
Jojo's Bizarre Adventure part 7,24,0
Jojo's Bizarre Adventure part 8,16,0
Jojo's Bizarre Adventure spinoffs,10,0
Jujutsu Kaisen,17,0
Juni Taisen Zodiac War,04,0
Kaguya: Sama Love is War,18,0
Kaiju Girl Caramelise,02,0
Kakegurui: Compulsive Gambler,11,0
